Glottocode,Language,Feature,Original_value,Curated_value,Type,Comment
lepc1244,Lepcha,GB409_19,1,0,VALUE_CORRECTED,'Original value 1 is incorrect. Plaisier (2010:127-129) explicitly states that animacy of the subject'
lepc1244,Lepcha,GB409_20,1,,MISSING_SOURCE,"No source reference provided. Recommend citing Plaisier 2010:127-129 (the grammar's ergativity secti"
lepc1244,Lepcha,GB409_21,1,,MISSING_SOURCE,"No source reference provided. Recommend citing Plaisier 2010:127-129 (the grammar's ergativity secti"
lepc1244,Lepcha,GB409_23,,0,VALUE_CORRECTED,'Original value was empty. Based on Plaisier (2010:127-129): the ergative marker is -nun~-nu (ABL suf'
lihi1237,Lihir,ALL,0,,SOURCE_NOTE,"All 24 features=0 (non-ergative Austronesian). Source p.86 shows phonetics; ergativity note may be on different subsection or page."
limb1266,Limbu,GB409_2,0,,COMMENT,'Value 0 confirmed: Van Driem (1987:26) explicitly states personal pronouns "take neither ergative nor absoluti'
limb1266,Limbu,GB409_3,0,,MISSING_SOURCE,'Value 0 confirmed. Same as GB409_2. Source: Van Driem 1987:26.'
limb1266,Limbu,GB409_4,0,,MISSING_SOURCE,'Value 0 confirmed. Same as GB409_2. Source: Van Driem 1987:26.'
limb1266,Limbu,GB409_16,1,,MISSING_SOURCE,'No source reference. Value 1 consistent with Limbu ergative system: ERG case -le/-re marks all full NP agents '
limb1266,Limbu,GB409_17,1,,MISSING_SOURCE,'No source reference. See GB409_16 comment. Recommend citing Van Driem 1987:39-40.'
limb1266,Limbu,GB409_22,0,,MISSING_SOURCE,'No source reference. Value 0 (no conditioning) may be debatable: personal pronouns do NOT take ERG or ABS in L'
limb1266,Limbu,GB409_23,0,1,VALUE_CORRECTED,'Original value 0 is incorrect. Van Driem (1987:34) explicitly lists ergative <-?ille; -le>; instrumental <-?il'
limb1266,Limbu,GB409_24,0,1,VALUE_CORRECTED,'Original value 0 is incorrect. Van Driem (1987:34) explicitly lists ergative <-?ille; -le> and instrumental <-'
lush1249,Mizo,GB409_22,0,,MISSING_SOURCE,'No source reference. Value 0 retained pending verification. Chhangte (1986:158) describes Mizo as "partially e'
lush1249,Mizo,GB409_23,0,,MISSING_SOURCE,'No source reference. Value 0 (ERG ≠ GEN) is expected for Mizo/Lushai (Chhangte 1986); a Tibeto-Burman language'
lush1249,Mizo,GB409_24,0,,MISSING_SOURCE,'No source reference. Value 0 (ERG ≠ INSTR) retained. The Mizo ergative clitic =in is functionally distinct fro'
maga1263,Mag-anchi Agta,GB409_5,0,,COMMENT,'Value 0 confirmed. Per GB409_1 comment: ergativity in Mag-anchi Agta is expressed through pronoun morphology o'
maga1263,Mag-anchi Agta,GB409_16,?,,COMMENT,'Value "?" not resolved. In Philippine-type systems; topicality is expressed through the focus/voice system (to'
maga1263,Mag-anchi Agta,GB409_21,?,,COMMENT,'Value "?" not resolved. Philippine-type subordinate clauses often have different voice/focus patterns. PDF tex'
maga1263,Mag-anchi Agta,GB409_22,0,,MISSING_SOURCE,'No source reference. Value 0 (no conditioning) plausible if pronoun-based ergativity is consistent across tens'
maga1263,Mag-anchi Agta,GB409_24,0,,MISSING_SOURCE,'No source reference. Value 0 (ERG≠INSTR) plausible for Philippine-type language. Add citation from Kitano & Pa'
mail1248,Magi,GB409_22,0,,MISSING_SOURCE,'No source reference. Thomson 1975:610 cited for other features; researcher should verify conditioning factors '
mail1248,Magi,GB409_23,0,,MISSING_SOURCE,'No source reference. Researcher should verify ERG vs GEN markers in Thomson 1975.'
mail1248,Magi,GB409_24,0,,MISSING_SOURCE,'No source reference. Researcher should verify ERG vs INSTR markers in Thomson 1975.'
macu1259,Macushi,GB409_22,0,,MISSING_SOURCE,'No source reference. Value 0 (no conditioning) plausible for Macushi (Cariban). Recommend citing Carson 1982.'
macu1259,Macushi,GB409_23,0,,MISSING_SOURCE,'No source reference. Recommend citing Carson 1982 for ERG vs GEN marker distinction.'
macu1259,Macushi,GB409_24,0,,MISSING_SOURCE,'No source reference. Recommend citing Carson 1982 for ERG vs INSTR marker distinction.'
mais1250,Maisin,GB409_22,0,,MISSING_SOURCE,'No source reference. Value 0 retained. Frampton 2020 cited for other features; add specific page for condition'
mais1250,Maisin,GB409_23,0,,MISSING_SOURCE,'No source reference. Recommend citing Frampton 2020.'
madn1237,Matngele,GB409_2,?,,MISSING_SOURCE,'Value "?" unresolved. No source. PDF/source must be checked (Zandvoort 1999) for 1st person pronoun ERG markin'
madn1237,Matngele,GB409_3,?,,MISSING_SOURCE,'Value "?" unresolved. No source. Verify in Zandvoort 1999.'
madn1237,Matngele,GB409_4,?,,MISSING_SOURCE,'Value "?" unresolved. No source. Verify in Zandvoort 1999.'
madn1237,Matngele,GB409_6,?,,MISSING_SOURCE,'Value "?" unresolved. No source. Verify imperfective aspect ergativity in Zandvoort 1999.'
madn1237,Matngele,GB409_9,?,,MISSING_SOURCE,'Value "?" unresolved. No source. Verify non-past ergativity in Zandvoort 1999.'
madn1237,Matngele,GB409_11,?,,MISSING_SOURCE,'Value "?" unresolved. No source. Verify non-indicative mood ergativity in Zandvoort 1999.'
madn1237,Matngele,GB409_13,?,,MISSING_SOURCE,'Value "?" unresolved. No source. Verify irrealis ergativity in Zandvoort 1999.'
madn1237,Matngele,GB409_15,?,,MISSING_SOURCE,'Value "?" unresolved. No source. Verify non-agentive A ergativity in Zandvoort 1999.'
madn1237,Matngele,GB409_16,?,,MISSING_SOURCE,'Value "?" unresolved. No source. Verify topical A ergativity in Zandvoort 1999.'
madn1237,Matngele,GB409_17,?,,MISSING_SOURCE,'Value "?" unresolved. No source. Verify non-topical A ergativity in Zandvoort 1999.'
madn1237,Matngele,GB409_21,?,,MISSING_SOURCE,'Value "?" unresolved. No source. Verify non-main clause ergativity in Zandvoort 1999.'
madn1237,Matngele,GB409_22,0,,MISSING_SOURCE,'Source listed as "1" — likely a data-entry error. Correct source is Zandvoort 1999. Researcher must verify con'
mana1288,Manange,GB409_9,0,,COMMENT,'Value 0 (no ERG in non-past) is consistent with tense-based split ergativity typical of Himalayan Tibeto-Burma'
mana1288,Manange,GB409_11,0,,MISSING_SOURCE,'Value 0 (no ERG in non-indicative) consistent with tense/aspect split. No source. Verify in Hildebrandt 2004.'
mana1288,Manange,GB409_13,0,,MISSING_SOURCE,'Value 0 (no ERG in irrealis) consistent with realis/irrealis split typical of Trans-Himalayan. No source. Veri'
mana1288,Manange,GB409_22,0,,MISSING_SOURCE,'No source. Value 0 may be incorrect if ERG is conditioned by tense/aspect (which the 0-values for GB409_9;11;1'
mana1288,Manange,GB409_23,0,,MISSING_SOURCE,'No source. Verify ERG vs GEN marker distinction in Hildebrandt 2004:67-68.'
adny1235,BATCH,GB409_1,0,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
adny1235,BATCH,GB409_2,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
adny1235,BATCH,GB409_3,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
adny1235,BATCH,GB409_4,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
adny1235,BATCH,GB409_5,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
adny1235,BATCH,GB409_6,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
adny1235,BATCH,GB409_7,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
adny1235,BATCH,GB409_8,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
adny1235,BATCH,GB409_9,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
adny1235,BATCH,GB409_10,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
adny1235,BATCH,GB409_11,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
adny1235,BATCH,GB409_12,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
adny1235,BATCH,GB409_13,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
adny1235,BATCH,GB409_14,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
adny1235,BATCH,GB409_15,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
adny1235,BATCH,GB409_16,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
adny1235,BATCH,GB409_17,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
adny1235,BATCH,GB409_18,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
adny1235,BATCH,GB409_19,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
adny1235,BATCH,GB409_20,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
adny1235,BATCH,GB409_21,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
adny1235,BATCH,GB409_22,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
adny1235,BATCH,GB409_23,0,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
adny1235,BATCH,GB409_24,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aghu1254,BATCH,GB409_1,0,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aghu1254,BATCH,GB409_2,0,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aghu1254,BATCH,GB409_3,0,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aghu1254,BATCH,GB409_4,0,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aghu1254,BATCH,GB409_5,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aghu1254,BATCH,GB409_6,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aghu1254,BATCH,GB409_7,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aghu1254,BATCH,GB409_8,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aghu1254,BATCH,GB409_9,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aghu1254,BATCH,GB409_10,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aghu1254,BATCH,GB409_11,?,,MISSING_VALUE,'Value not resolved ("?"). Researcher must determine correct coding from the grammar source.'
aghu1254,BATCH,GB409_12,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aghu1254,BATCH,GB409_13,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aghu1254,BATCH,GB409_14,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aghu1254,BATCH,GB409_15,0,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aghu1254,BATCH,GB409_16,?,,MISSING_VALUE,'Value not resolved ("?"). Researcher must determine correct coding from the grammar source.'
aghu1254,BATCH,GB409_17,?,,MISSING_VALUE,'Value not resolved ("?"). Researcher must determine correct coding from the grammar source.'
aghu1254,BATCH,GB409_18,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aghu1254,BATCH,GB409_19,0,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aghu1254,BATCH,GB409_20,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aghu1254,BATCH,GB409_21,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aghu1254,BATCH,GB409_22,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aghu1254,BATCH,GB409_23,0,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aghu1254,BATCH,GB409_24,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
agus1235,BATCH,GB409_1,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
agus1235,BATCH,GB409_2,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
agus1235,BATCH,GB409_3,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
agus1235,BATCH,GB409_4,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
agus1235,BATCH,GB409_5,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
agus1235,BATCH,GB409_6,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
agus1235,BATCH,GB409_7,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
agus1235,BATCH,GB409_8,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
agus1235,BATCH,GB409_9,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
agus1235,BATCH,GB409_10,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
agus1235,BATCH,GB409_11,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
agus1235,BATCH,GB409_12,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
agus1235,BATCH,GB409_13,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
agus1235,BATCH,GB409_14,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
agus1235,BATCH,GB409_15,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
agus1235,BATCH,GB409_16,0,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
agus1235,BATCH,GB409_17,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
agus1235,BATCH,GB409_18,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
agus1235,BATCH,GB409_19,?,,MISSING_VALUE,'Value not resolved ("?"). Researcher must determine correct coding from the grammar source.'
agus1235,BATCH,GB409_20,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
agus1235,BATCH,GB409_21,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
agus1235,BATCH,GB409_22,?,,MISSING_VALUE,'Value not resolved ("?"). Researcher must determine correct coding from the grammar source.'
agus1235,BATCH,GB409_23,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
agus1235,BATCH,GB409_24,0,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aleu1260,BATCH,GB409_1,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aleu1260,BATCH,GB409_2,0,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aleu1260,BATCH,GB409_3,0,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aleu1260,BATCH,GB409_4,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aleu1260,BATCH,GB409_5,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aleu1260,BATCH,GB409_6,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aleu1260,BATCH,GB409_7,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aleu1260,BATCH,GB409_8,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aleu1260,BATCH,GB409_9,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aleu1260,BATCH,GB409_10,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aleu1260,BATCH,GB409_11,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aleu1260,BATCH,GB409_12,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aleu1260,BATCH,GB409_13,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aleu1260,BATCH,GB409_14,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aleu1260,BATCH,GB409_15,?,,MISSING_VALUE,'Value not resolved ("?"). Researcher must determine correct coding from the grammar source.'
aleu1260,BATCH,GB409_16,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aleu1260,BATCH,GB409_17,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aleu1260,BATCH,GB409_18,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aleu1260,BATCH,GB409_19,?,,MISSING_VALUE,'Value not resolved ("?"). Researcher must determine correct coding from the grammar source.'
aleu1260,BATCH,GB409_20,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aleu1260,BATCH,GB409_21,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aleu1260,BATCH,GB409_22,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aleu1260,BATCH,GB409_23,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
aleu1260,BATCH,GB409_24,0,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
alya1239,BATCH,GB409_1,0,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
alya1239,BATCH,GB409_2,0,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
alya1239,BATCH,GB409_3,0,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
alya1239,BATCH,GB409_4,0,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
alya1239,BATCH,GB409_5,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
alya1239,BATCH,GB409_6,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
alya1239,BATCH,GB409_7,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
alya1239,BATCH,GB409_8,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
alya1239,BATCH,GB409_9,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
alya1239,BATCH,GB409_10,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
alya1239,BATCH,GB409_11,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
alya1239,BATCH,GB409_12,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
alya1239,BATCH,GB409_13,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
alya1239,BATCH,GB409_14,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
alya1239,BATCH,GB409_15,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
alya1239,BATCH,GB409_16,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
alya1239,BATCH,GB409_17,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
alya1239,BATCH,GB409_18,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
alya1239,BATCH,GB409_19,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
alya1239,BATCH,GB409_20,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
alya1239,BATCH,GB409_21,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
alya1239,BATCH,GB409_22,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
alya1239,BATCH,GB409_23,0,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
alya1239,BATCH,GB409_24,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
amdo1237,BATCH,GB409_1,0,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
amdo1237,BATCH,GB409_2,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
amdo1237,BATCH,GB409_3,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
amdo1237,BATCH,GB409_4,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
amdo1237,BATCH,GB409_5,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
amdo1237,BATCH,GB409_6,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
amdo1237,BATCH,GB409_7,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
amdo1237,BATCH,GB409_8,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
amdo1237,BATCH,GB409_9,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
amdo1237,BATCH,GB409_10,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
amdo1237,BATCH,GB409_11,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
amdo1237,BATCH,GB409_12,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
amdo1237,BATCH,GB409_13,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
amdo1237,BATCH,GB409_14,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
amdo1237,BATCH,GB409_15,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
amdo1237,BATCH,GB409_16,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
amdo1237,BATCH,GB409_17,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
amdo1237,BATCH,GB409_18,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
amdo1237,BATCH,GB409_19,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
amdo1237,BATCH,GB409_20,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
amdo1237,BATCH,GB409_21,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
amdo1237,BATCH,GB409_22,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
amdo1237,BATCH,GB409_23,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
amdo1237,BATCH,GB409_24,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
amis1246,BATCH,GB409_1,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
amis1246,BATCH,GB409_2,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
amis1246,BATCH,GB409_3,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
amis1246,BATCH,GB409_4,1,,MISSING_SOURCE,'No source reference provided. Recommend citing the grammar for this feature.'
