Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment
cavi1250,Cavineña,Tacanan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Guillaume 2010:111, ex. 21c","Conditional/irrealis clauses also show ergative marking (ex. 21c: i-ke in absolutive, e-ra in ergative). No split."
cavi1250,Cavineña,Tacanan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Guillaume 2010:99-100,Ergative marking is not conditioned by semantic agentivity. All A arguments receive =ra regardless of agentivity.
cavi1250,Cavineña,Tacanan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Guillaume 2010:99-100,No agentivity-conditioned split reported. Ergative marking applies uniformly.
cavi1250,Cavineña,Tacanan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,Guillaume 2010:99-100,No topicality-conditioned split reported. Ergative marking is not sensitive to discourse-pragmatic factors.
cavi1250,Cavineña,Tacanan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Guillaume 2010:99-100,No topicality-conditioned split. Ergative marking applies uniformly regardless of topicality.
cavi1250,Cavineña,Tacanan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Guillaume 2010:99-100,No animacy-conditioned split reported. Ergative marking applies to animate and inanimate A arguments alike.
cavi1250,Cavineña,Tacanan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Guillaume 2010:99-100,No animacy-conditioned split. Ergative marking applies uniformly.
cavi1250,Cavineña,Tacanan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,"Guillaume 2010:99-100, 104-109",Main clauses consistently show ergative marking on A NPs and pronouns. This is the primary domain of the ergative pattern.
cavi1250,Cavineña,Tacanan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Guillaume 2010:110-112,"All dependent clause types (non-finite and finite) show ergative case marking on A arguments, with the exception of general purpose clauses where A receives genitive marking (still an ergative-based system). No S/O pivot found in dependent clauses."
cavi1250,Cavineña,Tacanan,GB409_22,Is there ergative alignment of flagging conditioned by other factors?,1,Guillaume 2010:118,"Guillaume explicitly concludes there is NO split ergativity in Cavineña morphology. The apparent split reported by Camp (1985) is due to a morpho-phonological rule of suffix deletion (-ra and -ke deletion), not a morpho-syntactic split. At the syntactic level, co-reference constraints in dependent clauses operate on a NOMINATIVE-ACCUSATIVE basis (S/A pivot), not ergative."
cavi1250,Cavineña,Tacanan,GB409_23,Is the ergative marker the same as the genitive marker?,0,"Guillaume 2010:101, Table 1; 112","The ergative marker =ra (NPs) / -ra (pronouns) is DISTINCT from the genitive marker -ja (e.g. e-kwe 'my', tata-chi=ja 'father's'). In general purpose dependent clauses, A receives genitive marking -ja, but this is a distinct morpheme from the ergative =ra."
cavi1250,Cavineña,Tacanan,GB409_24,Is the ergative marker the same as the instrumental/comitative marker?,0,Guillaume 2010:99,The ergative marker =ra is distinct from instrumental and comitative markers. No syncretism between ergative and instrumental/comitative reported for Cavineña (contrast with Panoan languages like Matses/SK where -n marks ERG=GEN=INST).
