ID,Language_ID,Parameter_ID,Value,Source,Comment
58,aghu1254,GB409_10,1,"Jolly 1989: 151, 166",Ergative alignment is maintained in clauses of the indicative mood.
59,aghu1254,GB409_11,?,Jolly 1989:  in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty."
60,aghu1254,GB409_12,1,"Jolly 1989:  51, 96, 151, 165",Ergative alignment is maintained in clauses with realis status.
61,aghu1254,GB409_13,1,"Jolly 1989:  72, 166, 170",Ergative alignment is maintained in clauses with irrealis status.
62,aghu1254,GB409_14,1,"Jolly 1989:  51, 165","Ergative alignment applies specifically to agentive A arguments. The ergative case marks volitional initiators of transitive actions, such as humans or animals."
63,aghu1254,GB409_15,0,"Jolly 1989: 53, 89","Non-agentive and inanimate causes of actions do not receive the ergative suffix, but are marked with the instrumental case or appear in the absolutive in special constructions."
64,aghu1254,GB409_16,?,Jolly 1989:  in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty."
65,aghu1254,GB409_17,?,Jolly 1989:  in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty."
66,aghu1254,GB409_18,1,"Jolly 1989:  61, 151, 165","Ergative alignment applies consistently to animate agents, both human and non-human."
67,aghu1254,GB409_19,0,"Jolly 1989: 53, 61, 165",Ergative alignment does not apply to inanimate agents.
68,aghu1254,GB409_20,1,"Jolly 1989:  51, 151, 165",There is ergative alignment in the marking in main clauses.
69,aghu1254,GB409_21,1,Jolly 1989: 99,"Ergative alignment is maintained in subordinate clauses. Evidence of this is found in constructions formed by nominalizing a verb, where the agent of the transitive verb retains the ergative marker."
70,aghu1254,GB409_22,1,Jolly 1989: 49,"The marking system is not purely ergative, but rather presents split ergativity conditioned by the type of nominal phrase: the pronouns follow a nominative-accusative pattern, while the nouns follow an ergative-absolutive one."
71,aghu1254,GB409_23,0,"Jolly 1989: 60, 68","The ergative and genitive markers have different forms. The ergative is marked with suffixes such as /-ogə/ or /-əl/, while the nominal genitive is marked with /-nh/."
72,aghu1254,GB409_24,1,"Jolly 1989:  61-63, 69","The ergative case has the same mark as the instrumental case, but is different from the comitative case."
73,agus1235,GB409_1,1,"Verstraelen 1968-1969: 811, 814",There is an explicit marker for the absolutive case.
74,agus1235,GB409_2,?,"Verstraelen 1968-1969: 810-811, 814","An ergative alignment is presented, where the absolutive marking is -'a (1sg), kámi (1pl); while the ergative/genitive marking is -ko (1sg), -(ka)námi (1pl)."
75,agus1235,GB409_3,?,"Verstraelen 1968-1969: 811, 814","An ergative alignment is presented, where the absolutive markers are -ka/sikúna (2nd sg), sikándan (2nd pl); while the ergative/genitive markers are -no (2nd sg), -(kán)dan (2nd pl)."
76,agus1235,GB409_4,?,"Verstraelen 1968-1969: 811, 814","An ergative alignment is presented, where the absolutive markings are sikándin (3 sg), sikándan (3 pl); while the ergative/genitive markings are -din/sikándin (3 sg), -(kán)dan (3 pl)."
77,agus1235,GB409_5,?,"Verstraelen 1968-1969: 811, 814","The alignment is split: proper names are ergative (si/ni), but common names are not."
78,agus1235,GB409_6,1,Verstraelen 1968-1969: 810,"The continuous aspect, marked with the verbal affix paN-, maintains the ergative marking."
79,agus1235,GB409_7,1,Verstraelen 1968-1969: 810,"The ""factual tense"" corresponds to the perfective aspect, consistently using the ergative alignment."
80,agus1235,GB409_8,1,Verstraelen 1968-1969: 810-811,"Ergative marking is consistently applied in the ""factual tense"", which is interpreted  as past."
81,agus1235,GB409_9,1,Verstraelen 1968-1969: 810,The “non-factual” (future) tense maintains the same ergative marking system.
82,agus1235,GB409_10,1,Verstraelen 1968-1969: 809-814,Ergative alignment is the pattern for declarative (indicative) clauses.
83,agus1235,GB409_11,1,"Verstraelen 1968-1969: 809-810, 812, 814",Ergative alignment is maintained in imperative and modal negation constructions.
84,agus1235,GB409_12,1,Verstraelen 1968-1969: 810-811,"The ""factual tense"" corresponds to the realis status and consistently uses ergative marking."
85,agus1235,GB409_13,1,"Verstraelen 1968-1969: 810, 812, 814","The ""non-factual tense"" that corresponds to the irrealis maintains the ergative pattern."
86,agus1235,GB409_14,1,Verstraelen 1968-1969: 810-811,Arguments (A) are agentive and consistently receive the ergative mark.
87,agus1235,GB409_15,1,Verstraelen 1968-1969: 811,"The experiencer of perception verbs (non-agentive A) is marked with the ergative case, maintaining alignment."
88,agus1235,GB409_16,0,Verstraelen 1968-1969: 811,"When the agent (A) is the topic, the alignment changes to nominative-accusative (A=S)."
89,agus1235,GB409_17,1,"Verstraelen 1968-1969: 809-811, 814","In the ""passive"" construction, the agent (A) is inherently non-topic and is marked with the genitive case."
90,agus1235,GB409_18,1,Verstraelen 1968-1969: 810-811,Agents (A) that are animated follow the ergative pattern.
91,agus1235,GB409_19,?,Verstraelen 1968-1969: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty."
92,agus1235,GB409_20,1,"Verstraelen 1968-1969: 809-811, 814",Ergative alignment is the fundamental pattern described for the structure of main clauses.
93,agus1235,GB409_21,1,Verstraelen 1968-1969: 814-815,"In nominalizations with pag-, the subject (S/P) is transformed into a genitive phrase, maintaining the alignment."
94,agus1235,GB409_22,?,Verstraelen 1968-1969: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty."
95,agus1235,GB409_23,1,"Verstraelen 1968-1969: 809-811, 813",The marker for the agent (A) and the possessor is identical .
96,agus1235,GB409_24,0,Verstraelen 1968-1969: 810,The ergative case does not have the same marker as the instrumental or comitative marker.
97,ahin1234,GB409_1,1,Santiago 2013: 9,There is an explicit marker for the absolutive case.
98,ahin1234,GB409_2,1,Santiago 2013: 10,"First-person pronouns display ergative alignment, with distinct forms for the absolutive (-ak, kami) and ergative (-ko, -mi)."
99,ahin1234,GB409_3,1,Santiago 2013: 10,"Second-person pronouns display ergative alignment, with distinct forms for the absolutive (-ka, kayo) and ergative (-m/-mo, -yo)."
100,ahin1234,GB409_4,1,Santiago 2013: 10,"Third-person pronouns display ergative alignment, with distinct forms for the absolutive (ø, ida) and ergative (-to, da)."
101,ahin1234,GB409_5,1,Santiago 2013: 9,"Full NP's show ergative alignment, with distinct markers for the absolutive (hi, i) and the ergative (ni hi, ni)."
102,ahin1234,GB409_6,1,Santiago 2013: 17-19,Ergative alignment is maintained in the imperfective aspect.
103,ahin1234,GB409_7,1,Santiago 2013: 5-7,Ergative alignment is present in the perfective aspect.
104,ahin1234,GB409_8,1,Santiago 2013: 5-7,"The document uses the term ""perfective aspect"" to refer to actions completed in the past. Ergative alignment is present in perfective constructions."
105,ahin1234,GB409_9,1,"Santiago 2013: 5-7, 17-19","The imperfective and prospective aspects, which correspond to non-past tenses, maintain the ergative-absolutive marking system."
106,ahin1234,GB409_10,1,Santiago 2013: 17,There is an ergative alignment in the marking of arguments in the indicative mood.
107,ahin1234,GB409_11,1,Santiago 2013: 21,The imperative mood also uses the ergative marking system.
108,ahin1234,GB409_12,1,Santiago 2013: 17-19,The status realis shows a clear ergative alignment.
109,ahin1234,GB409_13,1,"Santiago 2013: 5, 21",Ergative alignment is maintained in irrealis status constructions.
110,ahin1234,GB409_14,1,Santiago 2013: 5-7,Agentive A (transitive agent with volitional control) consistently takes the ergative marker 'ni' throughout the document. The canonical transitive constructions documented in Santiago (2013) all involve agentive A with ergative marking.
111,ahin1234,GB409_15,?,Santiago 2013: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty."
112,ahin1234,GB409_16,0,"Santiago 2013: 5, 9","When the agent (A) is the topic of the sentence, it is marked with the absolutive case."
113,ahin1234,GB409_17,1,"Santiago 2013: 6-7, 9","When the agent (A) is not the topic, it is consistently marked with the ergative case."
114,ahin1234,GB409_18,1,"Santiago 2013: 17, 21, 26",Transitive agents (A) that are animated follow the ergative pattern.
115,ahin1234,GB409_19,?,Santiago 2013: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty."
116,ahin1234,GB409_20,1,"Santiago 2013: 17-19, 21, 26",The main clauses demonstrate ergative alignment.
117,ahin1234,GB409_21,1,Santiago 2013: 17-19,"Ergative marking on non-topical A (marker 'ni') applies in subordinate and nominalized constructions documented in Santiago (2013), consistent with the general Philippine-type system."
118,ahin1234,GB409_22,1,"Santiago 2013: 28-30, 41",The recent perfective aspect has a particular marking system that differs from other aspectual constructions.
119,ahin1234,GB409_23,1,Santiago 2013: 9-10,"The marker 'ni' is used for the ergative of common nouns, and ergative pronouns also function as possessives."
120,ahin1234,GB409_24,?,Santiago 2013: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty."
121,aime1238,GB409_1,1,Aiton 2016: 176-179,There is an explicit marker for the absolutive case.
122,aime1238,GB409_2,1,"Aiton 2016: 117, 119, 177","First-person pronouns show split ergative alignment, since the pronoun naːnaː (non-volitional) is used for both the S-argument and the P-argument, while nɛː is employed for the A-argument."
123,aime1238,GB409_3,1,"Aiton 2016: 117, 119",Second-person pronouns exhibit split ergative alignment.
124,aime1238,GB409_4,0,"Aiton 2016: 80, 117, 270","Third-person pronouns do not exhibit ergative alignment, as there is only one form (ɛː) that is used for both A and S, following a nominative-accusative pattern."
125,aime1238,GB409_5,1,"Aiton 2016: 176-177, 179",Full NP's exhibit ergative-absolutive alignment.
126,aime1238,GB409_6,1,Aiton 2016: 79,"Ergative marking can appear in clauses with imperfective aspect, since the case system remains active regardless of verbal aspect."
127,aime1238,GB409_7,1,"Aiton 2016: 177, 179, 231",Ergative alignment is evident in clauses with perfective aspect.
128,aime1238,GB409_8,1,"Aiton 2016: 177, 179, 360","Ergative alignment consistently appears in past-tense clauses, where transitive subjects are marked ergatively for pragmatic reasons, without distinction between types of past tense."
129,aime1238,GB409_9,1,Aiton 2016: 129,Ergative alignment also appears in non-past tenses.
130,aime1238,GB409_10,1,"Aiton 2016: 177, 179, 360","In the indicative mood, ergative alignment is the primary marking strategy in transitive clauses."
131,aime1238,GB409_11,1,"Aiton 2016: 129, 248",Ergative alignment also appears in non-indicative moods.
132,aime1238,GB409_12,1,"Aiton 2016: 79, 177","In the realis status, ergative alignment is common, although its use depends on pragmatic factors."
133,aime1238,GB409_13,1,"Aiton 2016: 129, 248",Ergative alignment also occurs in irrealis status.
134,aime1238,GB409_14,1,"Aiton 2016: 177, 179",Ergative alignment prototypically applies to agentive A arguments.
135,aime1238,GB409_15,0,"Aiton 2016: 185, 193",Ergative alignment does not apply to non-agentive A-arguments. Inanimate or uncontrolled causes are marked with the instrumental case (-kɛi).
136,aime1238,GB409_16,1,Aiton 2016: 188,"Ergative alignment does hold for topical A-arguments, since topicality does not interfere with case marking."
137,aime1238,GB409_17,1,Aiton 2016: 360-361,"Ergative alignment occurs when argument A is not topical, since in these contexts ergative marking serves a disambiguative function."
138,aime1238,GB409_18,1,"Aiton 2016: 177, 179, 360","Ergative alignment is primarily seen in animate arguments A, which typically play agentive and volitional roles."
139,aime1238,GB409_19,0,"Aiton 2016: 185, 363","Inanimate agents are marked with the instrumental case, reserving the ergative for prototypically animate agents."
140,aime1238,GB409_20,1,"Aiton 2016: 179, 360","Ergative alignment is clearly evident in main clauses, where the A argument of a transitive clause is marked ergatively, and the S and O arguments are marked with the absolutive."
141,aime1238,GB409_21,1,Aiton 2016: 315,"Ergative alignment also appears in non-main clauses, such as relative or dependent clauses."
142,aime1238,GB409_22,1,"Aiton 2016: 179, 360 -361","Its use is optional and is conditioned by pragmatic factors to avoid ambiguity, such as the non-canonical order of constituents and the contrastive focus."
143,aime1238,GB409_23,0,"Aiton 2016:  80, 123, 178, 186","The ergative and the genitive are not generally expressed with the same marker, although there is a case of homophony in a specific context."
144,aime1238,GB409_24,0,"Aiton 2016: 174, 178, 185",The ergative case does not have the same marker as the instrumental or comitative marker.
145,akun1241,GB409_1,1,Aragon 2014: 204,"Dependent pronoun clitics (o=, e=, i=) function as absolutive markers cross-referenced on the verb."
146,akun1241,GB409_2,1,Aragon 2014: 178-182,1sg: on (independent/ERG) vs. o= (dependent/ABS); ergative alignment on 1st person.
147,akun1241,GB409_3,1,Aragon 2014: 178-182,2sg: en (independent/ERG) vs. e= (dependent/ABS); ergative alignment on 2nd person.
148,akun1241,GB409_4,0,"Aragon 2014: 178-182, 204-206",3rd person is three-way: independent te for A; dependent i= for P; coreferential te= for S. No clean ERG-ABS split.
149,akun1241,GB409_5,0,"Aragon 2014: 153, 194, 198, 202","Explicitly stated: 'there are no nominative, ergative or absolutive case markers as affixes on nouns' (p.153). Full NPs carry zero case marking."
150,akun1241,GB409_6,1,Aragon 2014: 223-224,Imperfective (marked -ra) clauses maintain ERG-ABS alignment with pronominal arguments.
151,akun1241,GB409_7,1,Aragon 2014: 222-231,Perfective (unmarked verb) clauses also maintain ERG-ABS alignment.
152,akun1241,GB409_8,1,Aragon 2014: 222,Past events expressed with unmarked verb form; ERG-ABS alignment maintained.
153,akun1241,GB409_9,1,Aragon 2014: 226-228,Future clauses (projective marker kom) maintain ERG alignment.
154,akun1241,GB409_10,1,Aragon 2014: 233,Indicative clauses maintain ERG-ABS alignment.
155,akun1241,GB409_11,1,Aragon 2014: 234-235,Interrogative mood maintains ERG alignment; imperative shifts to NOM-ACC pattern (absolutive-clitic subjects).
156,akun1241,GB409_12,1,Aragon 2014: 232,Realis clauses are consistently ERG-ABS.
157,akun1241,GB409_13,1,"Aragon 2014: 226, 334",Future tense (irrealis) and interrogatives (irrealis-like) maintain ERG alignment.
158,akun1241,GB409_14,1,"Aragon 2014: 182, 286",Agentive A arguments take independent ergative pronouns (on/en/te); S and P take dependent absolutive clitics.
159,akun1241,GB409_15,0,"Aragon 2014: 181, 196","Experiencer/non-agentive predicates (fear, hear) are INTRANSITIVE in Akuntsu; their single argument takes the absolutive dependent clitic, not the ergative independent pronoun (e=pip 'you are afraid', o=apinom 'I hear'). Corrected from original value of 1."
160,akun1241,GB409_16,1,Aragon 2014: 181-182,Topical A (1st/2nd person) take independent ERG pronouns consistently.
161,akun1241,GB409_17,1,Aragon 2014: 254-255,Non-topical A in transitive clauses also uses independent pronouns.
162,akun1241,GB409_18,1,"Aragon 2014: 181-182, 201",Animate pronominal A (humans) take independent ERG pronouns.
163,akun1241,GB409_19,0,Aragon 2014: 153,Ergativity is limited to pronominal arguments; inanimate A (full NPs) follow neutral alignment.
164,akun1241,GB409_20,1,Aragon 2014: 181-182,Main clause transitive constructions consistently show ERG-ABS alignment.
165,akun1241,GB409_21,?,Aragon 2014: 205 fn.114,"Aragon (2014: 205, fn.114) explicitly states: 'Additional aspects of ergativity, particularly in complex sentences, is still under investigation.'"
166,akun1241,GB409_22,1,"Aragon 2014: 153, 179, 205, 234","Split ergativity conditioned by: (1) pronoun vs. full NP status, (2) person hierarchy (1/2 > 3), (3) patient animacy, (4) verbal mood."
167,akun1241,GB409_23,0,"Aragon 2014: 160, 178-179, 201, 204",Ergative = independent pronouns (on/en/te); genitive = dependent pronouns (o=/e=/i=). Different paradigm sets.
168,akun1241,GB409_24,0,"Aragon 2014: 154, 156, 159","Instrumental = oblique clitic =(b)o (p.154); comitative = postposition ete (pp.156, 159). Both distinct from independent ERG pronouns."
169,alba1269,GB409_1,1,"Fincke 2002: 57, 68, 79, 81, 84, 89","Trigger case (absolutive) overtly marked throughout: pronouns have dedicated trigger forms (ako, ka, siya); NPs take an/su."
170,alba1269,GB409_2,1,"Fincke 2002: 70, 81, 83","Pronoun table (p.81, Fig.11) shows clear ABS/ERG distinction for all persons. 1sg: ako (T) vs. ko (ERG)."
171,alba1269,GB409_3,1,"Fincke 2002: 68, 81, 128",2sg: ka/ika (T) vs. mo (ERG). Clear ABS/ERG distinction.
172,alba1269,GB409_4,1,"Fincke 2002: 76, 81, 146",3sg: siya (T) vs. niya (ERG). Clear ABS/ERG distinction.
173,alba1269,GB409_5,1,"Fincke 2002: 84-86, 89-91",Personal names take si (T) vs. ni (ERG); full NPs take an/su (T) vs. ki/kan (non-trigger/ERG).
174,alba1269,GB409_6,1,"Fincke 2002: 57, 69, 193, 203","Imperfective (CV- reduplication) and perfective (-in-, pig-) both show consistent ERG alignment."
175,alba1269,GB409_7,1,"Fincke 2002: 70, 193, 203",Perfective clauses consistently show ERG alignment.
176,alba1269,GB409_8,1,"Fincke 2002: 61, 219",ERG alignment maintained in past-tense ('commenced tense') constructions.
177,alba1269,GB409_9,1,"Fincke 2002: 47, 63-64, 193",ERG alignment maintained in non-past ('non-commenced tense') constructions.
178,alba1269,GB409_10,1,"Fincke 2002: 61, 91",All declarative/indicative clauses show ERG alignment.
179,alba1269,GB409_11,1,"Fincke 2002: 72, 145","Non-indicative moods (commands, irrealis) maintain ERG alignment."
180,alba1269,GB409_12,1,"Fincke 2002: 69, 203",Realis clauses maintain ERG alignment.
181,alba1269,GB409_13,1,"Fincke 2002: 47, 49, 72","Irrealis (negation, conditionals with kon, past counterfactuals) maintain ERG alignment."
182,alba1269,GB409_14,1,"Fincke 2002: 68, 86, 145",Canonical agentive A consistently marked with ERG ko/ni/kan.
183,alba1269,GB409_15,1,"Fincke 2002: 60, 83, 86","Perceptual and cognitive experiencers also take ERG: na-iling ko ito 'I saw that' (p.82-83, ex.76); ma-ma-mati' ito ni Andres 'Andres will hear that' (ex.84). Non-agentive A takes ERG."
184,alba1269,GB409_16,0,"Fincke 2002: 46, 56-57",Topical/trigger argument is always in ABS (trigger case); A is always non-trigger/ERG. GB409_16=0 is the canonical Philippine-type pattern.
185,alba1269,GB409_17,1,"Fincke 2002: 83, 86, 91",All non-topical A arguments are ERG; every transitive example shows this pattern.
186,alba1269,GB409_18,1,"Fincke 2002: 86, 91, 145",Animate A (human agents and experiencers) consistently take ERG.
187,alba1269,GB409_19,?,Fincke 2002: in passim,No examples of inanimate A in transitive clauses in this source; value unresolvable.
188,alba1269,GB409_20,1,"Fincke 2002: 57, 68",Main clauses show ERG alignment throughout.
189,alba1269,GB409_21,1,"Fincke 2002: 68, 110","Subordinate/complement/relative clauses preserve ERG marking (pp.68, 110)."
190,alba1269,GB409_22,1,Fincke 2002: 113,"In conditional pag-clauses (p.113, ex.142), S argument takes ERG instead of expected ABS. This split intransitivity is variably present (Fincke qualifies optionality)."
191,alba1269,GB409_23,1,"Fincke 2002: 81, 84, 86, 91, 99-100",ERG marker (ko/ni/kan) also marks possession (p.99: su kamot ko 'my hand'; ni Mamay as possessor). Canonical Philippine ERG=GEN syncretism.
192,alba1269,GB409_24,?,Fincke 2002: in passim,Source does not identify an instrumental case or show ERG markers glossed as instrumental; value unresolvable.
193,aleu1260,GB409_1,1,"Bergsland and Dirks 1981: 3, 8",There is an explicit marker for the absolutive case.
194,aleu1260,GB409_2,0,"Bergsland and Dirks 1981: 13,17",First-person pronouns show a nominative-accusative alignment.
195,aleu1260,GB409_3,0,"Bergsland and Dirks 1981: 13-14, 17",Second-person pronouns show a nominative-accusative alignment.
196,aleu1260,GB409_4,1,Bergsland and Dirks 1981: 8-9,"There is ergative alignment in the marking of third-person pronouns, but in a complex and split manner that depends on the presence of the object."
197,aleu1260,GB409_5,1,"Bergsland and Dirks 1981: 3, 8-9","Full NP's exhibit ergative alignment, but it is a split ergativity system conditioned by the presence or absence of the object."
198,aleu1260,GB409_6,1,"Bergsland and Dirks 1981: 9, 55","There is ergative alignment in the marking in the imperfective aspect, but it is conditioned by the omission of the object."
199,aleu1260,GB409_7,1,"Bergsland and Dirks 1981: 9, 23, 58","There is ergative alignment in the marking in the perfective aspect, conditioned in the same way by the omission of the object."
200,aleu1260,GB409_8,1,"Bergsland and Dirks 1981: 9, 58-59",Ergative alignment exists in the past.
201,aleu1260,GB409_9,1,"Bergsland and Dirks 1981: 9, 62","There is ergative alignment in the marking in times not past, and it is conditioned by the omission of the object."
202,aleu1260,GB409_10,1,"Bergsland and Dirks 1981: 3, 8-9",Ergative alignment in marking occurs in indicative mode.
203,aleu1260,GB409_11,1,Bergsland and Dirks 1981: 10,Ergative alignment in marking is found in interrogative mode.
204,aleu1260,GB409_12,1,"Bergsland and Dirks 1981: 9, 55, 58",Ergative alignment is observed in clauses with realis status.
205,aleu1260,GB409_13,1,"Bergsland and Dirks 1981: 10, 62",Ergative alignment  is found in clauses with irrealis status.
206,aleu1260,GB409_14,1,"Bergsland and Dirks 1981: 9, 62",Ergative alignment is observed in clauses with an agentive argument A.
