Glottocode,Language,Family,Ergon_ID,Feature,Source_comment,Value,Comment,curated,curated_comment,final_value
guru1261,Gurung,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,"Glover, 1974, p. 85",1,,1,"Original value ? resolved to 1. Ergative -d appears in non-indicative (imperative) forms. Ex.49 (p.85): ""kxl-d ax-bl-le tl-Ql-d"" (you-ER [without-saying-anything] stay-IM) uses the imperative suffix -d with ergative-marked 2sg. The ergative is a CASE marker applied to the transitive/causative subject regardless of mood. Source: Glover 1974:85.",1
guru1261,Gurung,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,"Glover, 1974, p. 213",1,,,,1
guru1261,Gurung,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,"Glover, 1974, pp. 74, 77, 122",1,,1,"Original value ? resolved to 1. Ergative marking is a case property of transitive subjects, not conditioned by realis/irrealis status. Glover's categorical statement (p.76): ""ergative for the Transitive Clause."" Ex.29 (p.122): ""l~ma-d ... ax-cxu-m~la"" (lama-ER not-prepare-PLUP.HAB) shows ergative with habituative -mala (modal/irrealis-adjacent). The unreal -mala (apodosis of hypotheticals, ex.27) has OCR-ambiguous text but no exception stated in the grammar. Source: Glover 1974:74,77,122.",1
guru1261,Gurung,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,"Glover, 1974, p. 213",1,,,,1
guru1261,Gurung,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,"Glover, 1974, pp. 30, 74, 77-78",1,,1,"Original value ? resolved to 1. Non-agentive A (Instrument, Non-instigative Cause) takes ergative -d. Table 4 (p.74) lists Transitive Subject roles as ""A, C, AX"" where C = Non-instigative Cause; all take ER marking. Ex.25 (p.77-78): ""n~'-d ... p~'-l"" (rain-ER soak-PA) — rain is Non-instigative Cause; book p.30 states Instrumental is ""realized identically with -d"". Source: Glover 1974:30,74,77-78.",1
guru1261,Gurung,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,"Glover, 1974, p. 213",1,,,,1
guru1261,Gurung,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,"Glover, 1974, pp. 82-85",1,,1,"Original value ? resolved to 1. Non-topical agents take ergative. The vast majority of ergative-marked agents in the corpus carry no topic particle: ex.25 ""n~'-d"" (rain-ER), ex.43 ""a99a-d"" (office-ER), ex.27 ""bomw~-d"" (Brahmin-ER), all without topic marking. Crucially, in ex.51-52 (pp.84-85), agents take BOTH ergative AND topic marker simultaneously (-d-am = ER+TOPIC), confirming ergative is not replaced by topic-marking. Source: Glover 1974:82-85.",1
guru1261,Gurung,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Glover, 1974, p. 213",1,,,,1
guru1261,Gurung,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,"Glover, 1974, pp. 77-78, 83",1,,1,"Original value ? resolved to 1. Inanimate agents take ergative -d. Ex.25 (p.77-78): ""n~'-d ... p~'-l"" (rain-ER soak-PA); ex.43 (p.83): ""a99a-d cha'b thaudi-f"" (office-ER stamp affix-PA). Both are inanimate Non-instigative Causes/Agents with ergative marking. Source: Glover 1974:77-78,83.",1
guru1261,Gurung,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,"Glover, 1974, p. 213",1,,,,1
guru1261,Gurung,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,"Glover, 1974, pp. 71-74",1,,1,"Original value ? resolved to 1. Ergative is a case-marking property not restricted to main clauses. Glover (p.71) describes -d as a ""postposition"" (case clitic) in the Relator system, applied to the subject of Transitive Clauses (Table 4, p.74). No restriction to main clause distribution is stated. Subordinate clause examples (gerund -ba, relative -bae) typically show deleted/implicit agents (contextually recoverable); no exception to ergative marking is noted for non-main clauses. Source: Glover 1974:71-74.",1
guru1261,Gurung,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,"Glover, 1974, pp. 70-78",0,,0,"Original value ? resolved to 0. Ergative alignment is not conditioned by any additional factor beyond transitivity. Glover's categorical description: ""ergative for the Transitive Clause"" (p.76), ""unmarked for the Loc-Intransitive"" (p.76). The ergative suffix -d applies consistently to all transitive subjects (Agent, Instrument/Cause, Agent-Experiencer) across tenses, aspects, and moods. No split conditioning (tense, person, animacy, topicality) is described. Source: Glover 1974:70-78.",0
guru1261,Gurung,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,"Glover, 1974, p. 70",0,,0,"Original value ? resolved to 0. Ergative suffix -d is distinct from the genitive -e (possessive/genitive). Case table (p.70) lists: Ergative=-d, Genitive=-e (or -a/-'(a)). These are formally distinct markers. Source: Glover 1974:70.",0
guru1261,Gurung,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,"Glover, 1974, p. 70",0,,0,"Original value ? resolved to 0. Ergative suffix -d is distinct from the comitative -ne/-na. Case table (p.70) lists: Ergative=-d, Comitative=-ne/-na as separate case markers. Source: Glover 1974:70.",0
