Glottocode,Lengua,Familia,Rasgo,Descripción_rasgo,Valor_original,Valor_curado,Comentario
guru1261,Gurung,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,1,"Original value ? resolved to 1. Non-agentive A (Instrument, Non-instigative Cause) takes ergative -d. Table 4 (p.74) lists Transitive Subject roles as ""A, C, AX"" where C = Non-instigative Cause; all take ER marking. Ex.25 (p.77-78): ""n~'-d ... p~'-l"" (rain-ER soak-PA) — rain is Non-instigative Cause; book p.30 states Instrumental is ""realized identically with -d"". Source: Glover 1974:30,74,77-78."
guru1261,Gurung,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,1,"Original value ? resolved to 1. Non-topical agents take ergative. The vast majority of ergative-marked agents in the corpus carry no topic particle: ex.25 ""n~'-d"" (rain-ER), ex.43 ""a99a-d"" (office-ER), ex.27 ""bomw~-d"" (Brahmin-ER), all without topic marking. Crucially, in ex.51-52 (pp.84-85), agents take BOTH ergative AND topic marker simultaneously (-d-am = ER+TOPIC), confirming ergative is not replaced by topic-marking. Source: Glover 1974:82-85."
guru1261,Gurung,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,1,"Original value ? resolved to 1. Inanimate agents take ergative -d. Ex.25 (p.77-78): ""n~'-d ... p~'-l"" (rain-ER soak-PA); ex.43 (p.83): ""a99a-d cha'b thaudi-f"" (office-ER stamp affix-PA). Both are inanimate Non-instigative Causes/Agents with ergative marking. Source: Glover 1974:77-78,83."
guru1261,Gurung,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,1,"Original value ? resolved to 1. Ergative is a case-marking property not restricted to main clauses. Glover (p.71) describes -d as a ""postposition"" (case clitic) in the Relator system, applied to the subject of Transitive Clauses (Table 4, p.74). No restriction to main clause distribution is stated. Subordinate clause examples (gerund -ba, relative -bae) typically show deleted/implicit agents (contextually recoverable); no exception to ergative marking is noted for non-main clauses. Source: Glover 1974:71-74."
guru1261,Gurung,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,?,0,"Original value ? resolved to 0. Ergative alignment is not conditioned by any additional factor beyond transitivity. Glover's categorical description: ""ergative for the Transitive Clause"" (p.76), ""unmarked for the Loc-Intransitive"" (p.76). The ergative suffix -d applies consistently to all transitive subjects (Agent, Instrument/Cause, Agent-Experiencer) across tenses, aspects, and moods. No split conditioning (tense, person, animacy, topicality) is described. Source: Glover 1974:70-78."
guru1261,Gurung,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,?,0,"Original value ? resolved to 0. Ergative suffix -d is distinct from the genitive -e (possessive/genitive). Case table (p.70) lists: Ergative=-d, Genitive=-e (or -a/-'(a)). These are formally distinct markers. Source: Glover 1974:70."
guru1261,Gurung,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,?,0,"Original value ? resolved to 0. Ergative suffix -d is distinct from the comitative -ne/-na. Case table (p.70) lists: Ergative=-d, Comitative=-ne/-na as separate case markers. Source: Glover 1974:70."
hunz1247,Hunzib,Nakh-Daghestanian,GB409_5,Is there ergative alignment of flagging on full NPs?,0,1,"Original value 0 is incorrect. Van den Berg (1995:42) section 3.4.2 explicitly introduces the ergative case with full NP examples in PRESENT tense: ol-di-l m-uq es (boy-OBL-ERG eat-PRES apple) 'the boy eats an apple'; wexa-l-lo n-uq xo (shepherd-OBL-ERG eat-PRES meat). Section 6.4.2 (p.122-123) confirms Agent+Patient [ERG, NOM] as the standard transitive pattern with full NP examples: ol-di-l kid hehe-r (boy-OBL-ERG girl hit-PRET); iyu-l hcxrac b-oho-r (mother-ERG cow feed-PRET). Full NPs take the ergative suffix -l (after vowel/y) or -lo (after consonant) on the oblique stem. Value corrected to 1. Source: Van den Berg 1995:42-43, 122-123."
hunz1247,Hunzib,Nakh-Daghestanian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,1,"REVERT: The original value 0 is correct. A batch-correction had changed this to 1, premised on a tense-based split (GB409_8=1 past vs. GB409_9=0 non-past). PDF verification (Van den Berg 1995:84-86) shows that GB409_9=0 was itself incorrect — ERG marking applies in aorist, future, and intentional forms (see GB409_9 correction). Since ERG is not conditioned by tense or any other factor identified in the grammar, value 0 is confirmed. Reverted batch-correction to 0."
hurr1240,Hurrian,Hurro-Urartian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,?,1,"Resolved to 1. Hurrian ergative case (-š) is not conditioned by aspect. The imperfective/future aspect (suffix -et-, Wegner 2007:86-87) uses the same ergative marking as other aspects. Table 1 (pp.64-65) shows no aspect conditioning. Source: Wegner 2007:64-65, 86-87."
hurr1240,Hurrian,Hurro-Urartian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,?,1,"Resolved to 1. Perfective/preterite aspect (suffix -os-, Wegner 2007:86-87) shows the same ergative alignment. Ergative (-š) marks A consistently. Source: Wegner 2007:64-65, 86-87."
hurr1240,Hurrian,Hurro-Urartian,GB409_8,Is there ergative alignment of flagging in the past tense?,?,1,"Resolved to 1. Preterite (past) tense forms show ergative alignment; preterite uses perfective aspect suffix -os-. Ergative (-š) applies in past tense. Source: Wegner 2007:64-65, 86-87."
hurr1240,Hurrian,Hurro-Urartian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,?,1,"Resolved to 1. Present/non-past tense (null aspect marker, Wegner 2007:86) also shows ergative alignment. Ergative is not conditioned by tense. Source: Wegner 2007:64-65, 86-87."
hurr1240,Hurrian,Hurro-Urartian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,?,1,"Resolved to 1. Non-indicative forms (Jussiv/jussive, section 5.6, Wegner 2007:102-103) also show the transitive/intransitive (ergative/absolutive) distinction. Ergative alignment extends to non-indicative moods. Source: Wegner 2007:102-103."
hurr1240,Hurrian,Hurro-Urartian,GB409_12,Is there ergative alignment of flagging in the realis status?,?,1,"Resolved to 1. Realis (indicative) forms consistently show ergative alignment (GB409_10=1 already confirmed). Source: Wegner 2007:64-65, 94."
hurr1240,Hurrian,Hurro-Urartian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,?,1,"Resolved to 1. Irrealis/non-indicative forms (jussive section 5.6, Wegner 2007:102-103) also show the transitive-ergative distinction. Ergative alignment applies in irrealis contexts. Source: Wegner 2007:102-103."
hurr1240,Hurrian,Hurro-Urartian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,?,1,Resolved to 1. Ergative marks all A arguments in transitive sentences. No restriction to agentive A is mentioned. Source: Wegner 2007:64-67.
hurr1240,Hurrian,Hurro-Urartian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,1,"Resolved to 1. The grammar (Wegner 2007:66-67) defines the ergative as ""Subjektkasus in transitiven objekthaltigen Sätzen"" (subject case in transitive sentences with object) without any restriction to agentive A. No evidence of absolutive marking for non-agentive A (e.g., experiencer subjects) in this source. Source: Wegner 2007:64-67."
hurr1240,Hurrian,Hurro-Urartian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,1,Resolved to 1. No topicality conditioning of the ergative case is mentioned in Wegner (2007). Ergative marks all A arguments regardless of topicality. Source: Wegner 2007:64-67.
hurr1240,Hurrian,Hurro-Urartian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,1,Resolved to 1. No topicality conditioning mentioned; ergative applies uniformly. Source: Wegner 2007:64-67.
hurr1240,Hurrian,Hurro-Urartian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,?,1,Resolved to 1. No animacy hierarchy for ergative marking mentioned in Wegner (2007). Animate A takes ergative. Source: Wegner 2007:64-67.
hurr1240,Hurrian,Hurro-Urartian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,1,Resolved to 1. No animacy conditioning mentioned; ergative applies to both animate and inanimate A arguments. Source: Wegner 2007:64-67.
hurr1240,Hurrian,Hurro-Urartian,GB409_20,Is there ergative alignment of flagging in main clauses?,?,1,Resolved to 1. Main clause ergative alignment confirmed by all cited examples. Source: Wegner 2007:64-67.
hurr1240,Hurrian,Hurro-Urartian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,1,"Resolved to 1. Ergative case marking persists in subordinate/relative clauses. The relative pronoun is always absolutive (Wegner 2007:84-85) because it relativizes the absolutive position, but full NPs in transitive subordinate clauses still take ergative. Source: Wegner 2007:84-85."
hurr1240,Hurrian,Hurro-Urartian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,?,0,"Resolved to 0. Hurrian ergative is not conditioned by any additional factor beyond standard transitivity (presence of object). The ergative applies uniformly regardless of tense, aspect, mood, animacy, or topicality. The antipassive construction (absolutive for A without object) is standard ergative behavior, not a split. Source: Wegner 2007:64-67."
iaai1238,Iaai,Austronesian,GB409_1,Is there an overt marker for the absolutive?,?,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0."
iaai1238,Iaai,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,?,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0."
iaai1238,Iaai,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,?,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0."
iaai1238,Iaai,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,?,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0."
iaai1238,Iaai,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,?,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0."
iaai1238,Iaai,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,?,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0."
iaai1238,Iaai,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,?,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0."
iaai1238,Iaai,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,?,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0."
iaai1238,Iaai,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,?,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0."
iaai1238,Iaai,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,?,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0."
iaai1238,Iaai,Austronesian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,?,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0."
iaai1238,Iaai,Austronesian,GB409_12,Is there ergative alignment of flagging in the realis status?,?,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0."
iaai1238,Iaai,Austronesian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,?,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0."
iaai1238,Iaai,Austronesian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,?,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0."
iaai1238,Iaai,Austronesian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0."
iaai1238,Iaai,Austronesian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0."
iaai1238,Iaai,Austronesian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0."
iaai1238,Iaai,Austronesian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,?,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0."
iaai1238,Iaai,Austronesian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0."
iaai1238,Iaai,Austronesian,GB409_20,Is there ergative alignment of flagging in main clauses?,?,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0."
iaai1238,Iaai,Austronesian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0."
iaai1238,Iaai,Austronesian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,?,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0."
iaai1238,Iaai,Austronesian,GB409_23,Are the ergative and the genitive expressed by the same marker?,?,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0."
iaai1238,Iaai,Austronesian,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,?,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0."
ilon1239,Ilongot,Austronesian,GB409_1,Is there an overt marker for the absolutive?,?,1,"Ilongot has ergative-absolutive alignment (Philippine focus system). NOM marker ma marks absolutive NPs (patient of transitive + S of intransitive). Liao (2008:3) ex.(4): kinan ni Madiya ma manok = ate GEN.Maria NOM.chicken (""Maria ate the chicken""). ma is overt ABS marker."
ilon1239,Ilongot,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,?,1,"GEN pronoun =ko (1sg agent) vs NOM =/(C)ak (1sg S/O). Liao (2008:5-6) Table 1 and §4.2.2: NOM pronoun functions as S of intransitive (ex.14), agent of dyadic intransitive (ex.15), AND theme/patient of transitive (ex.16). GEN =ko marks transitive agent. Ergative alignment on 1sg."
ilon1239,Ilongot,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,?,1,GEN pronoun =mo (2sg agent) vs NOM =ka (2sg S/O). Liao (2008:5-6) Table 1 and §4.2.2. Same pattern as 1sg. Ergative alignment on 2sg.
ilon1239,Ilongot,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,?,1,"GEN pronoun =to/=tu (3sg agent) vs no NOM 3sg form (zero/absent). Liao (2008:5-6) Table 1: 3sg NOM is ""---"" (no form). Ex.(16): kadɨvaan=tu=(v)ak (accompany=GEN.3SG=NOM.1SG) ""She will accompany me"" — 3sg agent uses GEN. Ergative alignment present on 3sg (agent marked by GEN)."
ilon1239,Ilongot,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,?,1,"Full NP: ni (GEN, agent marker) vs ma (NOM, patient/S marker). Liao (2008:3) ex.(4): kinan ni Madiya ma manok noy mase (ate GEN.Maria NOM.chicken last.night) ""Maria ate the chicken last night."" Overt ergative-absolutive alignment on full NPs."
